category,url,product_count
게임,https://image.yes24.com/sysimage/contents/Error/error_500.html?aspxerrorpath=/product/category/display/001001003027,
그래픽/디자인/멀티미디어,https://www.yes24.com/product/category/display/001001003028,6766.0
네트워크/해킹/보안,https://www.yes24.com/product/category/display/001001003024,2519.0
모바일 프로그래밍,https://www.yes24.com/product/category/display/001001003023,961.0
모바일/태블릿/SNS,https://www.yes24.com/product/category/display/001001003021,860.0
오피스 활용,https://www.yes24.com/product/category/display/001001003029,3456.0
웹사이트,https://www.yes24.com/product/category/display/001001003020,2353.0
인공지능,https://www.yes24.com/product/category/display/001001003032,2463.0
인터넷 비즈니스,https://www.yes24.com/product/category/display/001001003026,1182.0
컴퓨터 공학,https://www.yes24.com/product/category/display/001001003031,7504.0
컴퓨터 수험서,https://www.yes24.com/product/category/display/001001003030,5816.0
컴퓨터 입문/활용,https://www.yes24.com/product/category/display/001001003019,4143.0
프로그래밍 언어,https://www.yes24.com/product/category/display/001001003022,7690.0
OS/데이터베이스,https://www.yes24.com/product/category/display/001001003025,3344.0
